Category,Code,Name,Width,Thickness,Diameter,Height,Length,Weight_per_meter,Standard_lengths,Grade,Standard
Equal Angles,SA06510,Mild Steel Equal Angle 65x65x10mm,65,10,,,,,9.02,9.0,300,AS/NZS 3679.1-300
Equal Angles,SA07505,Mild Steel Equal Angle 75x75x5mm,75,5,,,,,5.27,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA07506,Mild Steel Equal Angle 75x75x6mm,75,6,,,,,6.81,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA07508,Mild Steel Equal Angle 75x75x8mm,75,8,,,,,8.73,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA07510,Mild Steel Equal Angle 75x75x10mm,75,10,,,,,10.50,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA08006,Mild Steel Equal Angle 80x80x6mm,80,6,,,,,7.34,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA09006,Mild Steel Equal Angle 90x90x6mm,90,6,,,,,8.22,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA09008,Mild Steel Equal Angle 90x90x8mm,90,8,,,,,10.60,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA09010,Mild Steel Equal Angle 90x90x10mm,90,10,,,,,12.70,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA10006,Mild Steel Equal Angle 100x100x6mm,100,6,,,,,9.16,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA10008,Mild Steel Equal Angle 100x100x8mm,100,8,,,,,11.80,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA10010,Mild Steel Equal Angle 100x100x10mm,100,10,,,,,14.20,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA10012,Mild Steel Equal Angle 100x100x12mm,100,12,,,,,17.70,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA12508,Mild Steel Equal Angle 125x125x8mm,125,8,,,,,14.90,9.0,300,AS/NZS 3679.1-300
Equal Angles,SA12510,Mild Steel Equal Angle 125x125x10mm,125,10,,,,,18.00,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA15010,Mild Steel Equal Angle 150x150x10mm,150,10,,,,,21.90,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA15012,Mild Steel Equal Angle 150x150x12mm,150,12,,,,,27.30,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA15016,Mild Steel Equal Angle 150x150x16mm,150,16,,,,,35.40,12.0,300,AS/NZS 3679.1-300
Equal Angles,SA20013,Mild Steel Equal Angle 200x200x13mm,200,13,,,,,40.00,9.0;12.0,300,AS/NZS 3679.1-300
Equal Angles,SA20016,Mild Steel Equal Angle 200x200x16mm,200,16,,,,,48.70,9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA07505005,Mild Steel Unequal Angle 75x50x5mm,75,5,,,,,4.40,6.0;9.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA07505006,Mild Steel Unequal Angle 75x50x6mm,75,6,,,,,5.66,6.0;9.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA10007506,Mild Steel Unequal Angle 100x75x6mm,100,6,,,,,7.98,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA10007508,Mild Steel Unequal Angle 100x75x8mm,100,8,,,,,10.30,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA10007510,Mild Steel Unequal Angle 100x75x10mm,100,10,,,,,12.40,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA12507506,Mild Steel Unequal Angle 125x75x6mm,125,6,,,,,9.16,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA12507508,Mild Steel Unequal Angle 125x75x8mm,125,8,,,,,11.80,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA12507510,Mild Steel Unequal Angle 125x75x10mm,125,10,,,,,14.20,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15009008,Mild Steel Unequal Angle 150x90x8mm,150,8,,,,,14.30,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15009010,Mild Steel Unequal Angle 150x90x10mm,150,10,,,,,17.30,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15009012,Mild Steel Unequal Angle 150x90x12mm,150,12,,,,,21.60,9.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15010010,Mild Steel Unequal Angle 150x100x10mm,150,10,,,,,18.00,6.0;9.0;12.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15010012,Mild Steel Unequal Angle 150x100x12mm,150,12,,,,,22.50,6.0;12.0,300,AS/NZS 3679.1-300
Rounds,SR06,Mild Steel Round 6mm,,,6,,,0.22,6.0,300,AS/NZS 3679.1-300
Rounds,SR08,Mild Steel Round 8mm,,,8,,,0.40,6.0,300,AS/NZS 3679.1-300
Rounds,SR10,Mild Steel Round 10mm,,,10,,,0.62,6.0,300,AS/NZS 3679.1-300
Rounds,SR12,Mild Steel Round 12mm,,,12,,,0.89,6.0,300,AS/NZS 3679.1-300
Rounds,SR16,Mild Steel Round 16mm,,,16,,,1.58,6.0;9.0,300,AS/NZS 3679.1-300
Rounds,SR20,Mild Steel Round 20mm,,,20,,,2.47,6.0;9.0,300,AS/NZS 3679.1-300
Rounds,SR24,Mild Steel Round 24mm,,,24,,,3.55,6.0,300,AS/NZS 3679.1-300
Rounds,SR28,Mild Steel Round 28mm,,,28,,,4.83,6.0,300,AS/NZS 3679.1-300
Rounds,SR32,Mild Steel Round 32mm,,,32,,,6.31,6.0,300,AS/NZS 3679.1-300
Rounds,SR40,Mild Steel Round 40mm,,,40,,,9.86,6.0,300,AS/NZS 3679.1-300
Rounds,SR50,Mild Steel Round 50mm,,,50,,,15.41,6.0,300,AS/NZS 3679.1-300
Squares,SQ06,Mild Steel Square 6mm,6,,,,,,0.28,6.0,300,AS/NZS 3679.1-300
Squares,SQ08,Mild Steel Square 8mm,8,,,,,,0.50,6.0,300,AS/NZS 3679.1-300
Squares,SQ10,Mild Steel Square 10mm,10,,,,,,0.79,6.0,300,AS/NZS 3679.1-300
Squares,SQ12,Mild Steel Square 12mm,12,,,,,,1.13,6.0,300,AS/NZS 3679.1-300
Squares,SQ16,Mild Steel Square 16mm,16,,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Squares,SQ19,Mild Steel Square 19mm,19,,,,,,2.98,6.0,300,AS/NZS 3679.1-300
Squares,SQ20,Mild Steel Square 20mm,20,,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Squares,SQ25,Mild Steel Square 25mm,25,,,,,,4.91,6.0,300,AS/NZS 3679.1-300
Squares,SQ32,Mild Steel Square 32mm,32,,,,,,8.04,6.0,300,AS/NZS 3679.1-300
Squares,SQ38,Mild Steel Square 38mm,38,,,,,,11.34,6.0,300,AS/NZS 3679.1-300
Squares,SQ40,Mild Steel Square 40mm,40,,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Squares,SQ50,Mild Steel Square 50mm,50,,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Squares,SQ75,Mild Steel Square 75mm,75,,,,,,44.18,6.0,300,AS/NZS 3679.1-300
Plates,PL03,Mild Steel Plate 3mm,,,3,,,23.55,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL04,Mild Steel Plate 4mm,,,4,,,31.40,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL05,Mild Steel Plate 5mm,,,5,,,39.25,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL06,Mild Steel Plate 6mm,,,6,,,47.10,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL08,Mild Steel Plate 8mm,,,8,,,62.80,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL10,Mild Steel Plate 10mm,,,10,,,78.50,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL12,Mild Steel Plate 12mm,,,12,,,94.20,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL16,Mild Steel Plate 16mm,,,16,,,125.60,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL20,Mild Steel Plate 20mm,,,20,,,157.00,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL25,Mild Steel Plate 25mm,,,25,,,196.25,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL32,Mild Steel Plate 32mm,,,32,,,251.20,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL40,Mild Steel Plate 40mm,,,40,,,314.00,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Plates,PL50,Mild Steel Plate 50mm,,,50,,,392.50,3.0x1.5;6.0x2.0,300,AS/NZS 3679.1-300
Sheets,SH060,Cold Rolled Sheet 0.6mm,,,0.6,,,4.71,1.2x2.4,300,AS 1397
Sheets,SH080,Cold Rolled Sheet 0.8mm,,,0.8,,,6.28,1.2x2.4,300,AS 1397
Sheets,SH090,Cold Rolled Sheet 0.9mm,,,0.9,,,7.07,1.2x2.4,300,AS 1397
Sheets,SH100,Cold Rolled Sheet 1.0mm,,,1.0,,,7.85,1.2x2.4,300,AS 1397
Sheets,SH120,Cold Rolled Sheet 1.2mm,,,1.2,,,9.42,1.2x2.4,300,AS 1397
Sheets,SH150,Cold Rolled Sheet 1.5mm,,,1.5,,,11.78,1.2x2.4,300,AS 1397
Sheets,SH200,Cold Rolled Sheet 2.0mm,,,2.0,,,15.70,1.2x2.4,300,AS 1397
Sheets,SH250,Cold Rolled Sheet 2.5mm,,,2.5,,,19.63,1.2x2.4,300,AS 1397
Sheets,SH300,Cold Rolled Sheet 3.0mm,,,3.0,,,23.55,1.2x2.4,300,AS 1397
